編號,原文,臺灣用語,大陸用語,其他用語,
1,Q address,Q位址；傳送數據位址；源位址,,,
2,Q channel,Q通道,,,
3,Q I/O,佇列輸出輸入,,,
4,Q output,Q輸出,,,
5,Q output state,Q輸出狀態,,,
6,Q test,Q測試,,,
7,Q-axis,Q坐標,,,
8,Q-band,Q波段,,,
9,QCB,隊列控制（方）塊；佇列控制塊；佇列控制分程序,隊列控制塊 ,,
10,QCB extension,QCB擴充區；佇列控制塊擴充區,,,
11,q-dimensional lattice,q維晶格,q維網格 ,,
12,Q-factor,品質因數,,,
13,QFP,四面扁平封裝,四面扁平封裝 ,,
14,QIC,1/4英吋盒式磁帶,1/4英寸盒式磁帶 ,,
15,QL,查詢語言,查詢語言 ,,
16,QLISP,QLISP語言；一種人工智慧語言,,,
17,QMG batch job,QMG整批作業,,,
18,QMG print job,QMG列印工作,,,
19,QoS,服務品質,服務質量 ,,
20,quad,四線組；四心線；四芯（導）線；四元組；四倍的；四個一組的,,,
21,quad asynchronous local terminal adapter,四線異步局部終端適配接器,,,
22,quad bus transceiver inverting,四匯流排收發器反向,,,
23,quad cable,四心電纜,,,
24,quad density,四倍密度,,,
25,quad flat package,四面扁平封裝,四面扁平封裝 ,,
26,quad in-line LSI package,四列直插式大規模集成電路組件,,,
27,quad in-line package,四列直插式組件；四列直插封裝,,,
28,quad in-line,四列直插式；四列直插式（組件）,,,
29,quad synchronous adapter,四線同步轉接器；四線同步適配器,,,
30,quad tree,四元樹,,,
31,quad2 in NAND gate,四2輸入與非閘,,,
32,quadded cable,四線組電纜；四心電纜；四線電纜,,,
33,quadded flipflop,四線正反器,,,
34,quadded logic,四線邏輯,,,
35,quadrangle,四角形；四邊形,,,
36,quadrant,象限,,,
37,quadrant multiplier,象限乘法器,,,
38,quadrantal symmetry,象限對稱,,,
39,quadra-phase shift keying,四相移位鍵控,,,
40,quadra-phase,四相制,,,
41,quadrate,平方；二次；正方形,,,
42,quadratic,二次的,,,
43,quadratic approximation,二次近似,,,
44,quadratic arc computer,二次弧計算機,,,
45,quadratic assignment problem,二次指派問題,,,
46,quadratic convergence,二次收斂,,,
47,quadratic criterion integral,二次型積分準則,,,
48,quadratic dual problem,二次對偶問題,,,
49,quadratic equation,二次方程式,,,
50,quadratic form,二次形式,,,
51,quadratic function,二次函數,,,
52,quadratic hash,二次散列,,,
53,quadratic minimization problem,二次最小化問題,,,
54,quadratic non-residue,平方非殘餘,平方非剩余 ,,
55,quadratic performance index,二次型效能指標,二次型性能指標 ,,
56,quadratic probing,二次探測,,,
57,quadratic programming,二次規劃,,,
58,quadratic quotient search,二次商搜尋,,,
