編號,原文,臺灣用語,大陸用語,其他用語,
1,nabla,倒三角算子,,,
2,n-address instruction,n位址指令,,,
3,n-address instruction format,n址指令格式,,,
4,n-adic Boolean operation,n元布林運算,,,
5,n-adic function,n元函數,,,
6,n-adic operation,n元運算；n元操作,,,
7,n-adic predicate,n元述詞,,,
8,naive user,初級用戶,,,
9,NAK,負認可,否認 ,,
10,naked indicator,裸指示器,,,
11,naked reference,裸引用,,,
12,name,名；名稱,,,
13,name and address,名稱與位址,,,
14,name block,名稱段；名字塊,,,
15,name call,名稱呼叫,,,
16,name code	,名稱代碼,,,
17,name condition,名稱條件,,,
18,name conflict,名稱衝突,,,
19,name constant,名稱常數,,,
20,name data,名稱資料,,,
21,name data type,名稱資料類型,,,
22,name entry,名稱項,,,
23,name field,名稱欄,,,
24,name identification,名稱識別,,,
25,name identifier,名稱識別符,,,
26,name key,名稱鍵,,,
27,name list name,名稱串列名稱,,,
28,name lookup rule,名稱查找規則,,,
29,name of an object,物件名稱；目標名,,,
30,name of code,代碼名稱,,,
31,name of numeric literal,數字文字名稱,,,
32,name of spooler bond unit,排存器聯接單元名稱,,,
33,name of variable,變數名稱,,,
34,name parameter,名稱參數,,,
35,name part,名稱部分,,,
36,name precedence,名稱居先（順序）,,,
37,name qualification,名稱限定,,,
38,name recognizer,名稱辨識器,,,
39,name register	,名稱暫存器,,,
40,name replacement,名稱替換,,,
41,name resolution,名稱分解,,,
42,name scoping,名稱範疇,,,
43,name server,名稱服伺器,,,
44,name service,名稱服務,,,
45,name space,名稱空間,,,
46,name space modification,名稱空間修改,,,
47,name substitution,名稱替代,,,
48,name table,名稱表,,,
49,name value,名稱值,,,
50,name-address mapping,名稱－地址對映,,,
51,named actual parameter,附名實際參數,,,
52,named common,附名公用,,,
53,named common area,附名公用區,,,
54,named common block,附名公用塊,,,
55,named component,附名分量,,,
56,named constant,附名常數,,,
57,named data,附名資料,,,
58,named destination,附名目的地,,,
59,named file,附名檔案,,,
60,named parameter,附名參數,,,
61,named parameter association,附名參數結合,,,
62,named program module,附名程式模組,,,
63,named record type,附名記錄型,,,
64,named system,附名系統,,,
65,named user file,附名用戶檔案,,,
66,name-error exception,名稱錯誤例外,,,
67,names extraction,名稱擷取,名字抽取 ,,
68,naming authority,名稱機構,名稱機構 ,,
69,naming context,上下文命名,,,
70,naming context tree,上下文樹命名,,,
71,naming convention,命名規約,命名約定 ,,
72,naming operation,命名作業,,,
73,naming program,命名程式,,,
74,naming rule,命名規則,,,
75,naming variable,命名變數,,,
76,NAND,非與的,,,
77,NAND circuit,反及電路,,,
78,NAND element,反及元素,,,
79,NAND gate,反及閘,與非門 ,,
80,NAND logic gates,反及邏輯閘,,,
81,NAND operator,反及運算子,,,
82,nano,奈；毫微,,,
83,nano-architecture,毫微結構（體系）,,,
84,nanobus,毫微匯流排,,,
85,nanocircuit,毫微電路,,,
86,nanocomputer,毫微電腦,,,
87,nanofarad,毫微法（拉）,,,
88,nanoinstruction,毫微指令,,,
89,nanoinstruction statement,毫微指令敘述,,,
90,nanomachine,毫微計算機,,,
91,nanomemory,毫微記憶體,,,
92,nanoprocessor,毫微處理機,,,
93,nanoprogram,毫微程式,,,
94,nanoprogram counter	,毫微程式計數器,,,
95,nanoprogram level,毫微程式層次,,,
96,nanoprogram memory,毫微程式記憶體,,,
97,nanoprogram store,毫微程式儲存,,,
98,nanoprogrammable computer,毫微可程式計算機,,,
99,nanoprogramming,毫微程式設計,,,
100,nanoprogramming memory,毫微程式記憶體,,,
101,nanoscope,毫微秒示波器；超高頻示波器,,,
102,nanosecond circuit,末秒電路；毫微秒電路,,,
103,nanosecond pulse,毫微秒脈衝,,,
104,nanosecond pulser,毫微秒脈波器,,,
105,nanosecond	,十億分之一秒；毫微秒,,,
106,nanostorage,毫微儲存器,,,
107,nanostore,毫微儲存,,,
