編號,原文,臺灣用語,大陸用語,其他用語,
1,Wadkin automatic remote processor accessed via terminal	,瓦德金自動終端存取遠程處理程序,,,
2,wafer,晶片；晶元；圓片；大晶片；薄片；干膠片,,,
3,wafer bonder,圓片壓焊；晶片壓焊,,,
4,wafer fabrication,晶片製造,,,
5,wafer process control system,晶片加工控制系統,,,
6,wafer processing,晶片處理,,,
7,wafer silicon integration,晶片矽積體電路,,,
8,wafering,切片,,,
9,wafer-scale integration,晶片積體電路,圓片規模集成 ,,
10,Waffle iron memory,窩伏爾鐵片儲存器,,,
11,Waffle pack,窩伏爾組件,,,
12,wage,工資,,,
13,wages accounting,薪金計算；工資記帳,,,
14,WAIS,廣域資訊服務系統,廣域信息服務系統 ,,
15,wait,等候；等待,等待 ,,
16,wait before transmit positive acknowledgment,發送肯定應答信號前等待,,,
17,WAIT command,WAIT命令,,,
18,wait condition,等待條件；等候情況,,,
19,wait for graph,等待圖形,,,
20,wait for interrupt,等待中斷,,,
21,wait for interrupt request,等待中斷要求,,,
22,wait I/O processing,等待輸入輸出處理,,,
23,wait list,等待串列,等待表 ,,
24,wait loop,等待迴路,,,
25,wait phase,等待階段,,,
26,wait state,等待狀態,,,
27,wait time,等待時間,,,
28,wait-acknowledge,等待肯定應答；等候認可,,,
29,wait-before-transmitting-positive acknowledgement,傳輸前等候肯定認知,,,
30,wait-before-transmitting-positive acknowledgement ledgement,傳輸前等候肯定認知,,,
31,wait-before-transmitting-positive acknowledgment,發送肯定應答信號前等待,,,
32,wait-before-transmitting-positive acknowledgment character,發送確認前等待字元,,,
33,waiting,等待,,,
34,waiting '1' and '0',等待1和0,,,
35,waiting before transmission	,傳輸前等待,,,
36,waiting facilities,等待設施,,,
37,waiting indicator	,等待指示燈,,,
38,waiting line model,等候模型,,,
39,waiting line theory,等候理論,,,
40,waiting lines,等待線,,,
41,waiting list,等待表；等候表,,,
42,waiting loop,等待迴路,,,
43,waiting period,等待週期,,,
44,waiting queue,等待佇列,等待隊列 ,,
45,waiting queue channel,等待佇列通道,,,
46,waiting state,等待狀態,等待狀態 ,,
47,waiting time,等待時間；等候時間,,,
48,wait-on-user-defined event	,等待用戶定義事件,,,
49,wake,喚醒,,,
50,wake-up,喚醒,喚醒 ,,
51,wake-up character,喚醒字元,喚醒字符 ,,
52,wake-up primitive,喚醒基元,喚醒原語 ,,
53,wake-up waiting,喚醒等待,喚醒等待 ,,
54,wake-up waiting bit,喚醒等候位元,,,
55,walk,走；走道,,,
56,walkie talkie,對講機,,,
57,walking pattern,步行樣式,,,
58,walking test,走步測試,走步測試 ,,
59,walkthrough,走查,,,
60,walk-through,走查,走查 ,,
61,wall energy,牆壁能,,,
62,wall receptacle,牆上插座,,,
63,wall state,磁壁狀態,,,
64,Wallace add tree,華萊士加法樹,,,
65,Wallace tree,華萊士樹,華萊士樹 ,,
66,Walsh Hadamard transformation,沃爾什哈達馬德變換,,,
67,Walsh transform,沃爾什變換,,,
68,Walsh transform subroutine,沃爾什變換次常式,,,
69,Waltz algorithm,華爾茲算法,,,
70,WAN,廣域網路,廣域網 ,,
71,wand,條碼閱讀機,,,
72,wand reader,條碼閱讀機,,,
73,wanding,讀條形碼,,,
74,Wang computer system	,王安計算機系統,,,
75,Wang intersystem exchange	,王安系統間交接（設施）,,,
76,WAR,讀後寫,讀后寫 ,,
77,war communications,戰時通訊,,,
78,warehouse,倉庫,,,
79,warehouse automation,倉庫自動化,,,
80,warehouse number,倉庫號碼,,,
81,warehouse stock location,倉庫存放位置,,,
82,warm back-up,暖備份,熱備份 ,,
83,warm boot,暖啟動,,,
84,warm restart,暖再啟動,,,
85,warm standby,暖待命,,,
86,warm start,暖開機；暖起動,熱啟動 ,,
87,warming up,暖機,,,
88,warm-up,暖機,,,
89,warm-up period,暖機週期,,,
90,warm-up time,暖機時間,,,
91,Warnier Orr diagram,沃野圖,,,
92,warning,警告；警告式；報警；告警；警報,,,
93,warning circuit,警告電路,,,
94,warning device,警告裝置,,,
95,warning facilities,警告設施,,,
96,warning light	,警告燈,,,
97,warning mark,警告標示,,,
98,warning message,警告訊息,,,
99,warning sign,警告信號,,,
100,Warren abstract machine,Warren抽象機,沃倫抽象機 ,,
101,washer,墊圈；補墊；墊片,,,
102,waste instruction,空指令；浪費指令,,,
103,waste operation,空操作,,,
104,wastebasket,廢紙箱,,,
105,wasted cycle,白消耗週期,白消耗周期 ,,
106,watch continued,繼續監視,,,
107,watchdog,監視器,把關[定時]器, *監視定時器 ,,
108,watchdog subsystem,監視子系統,,,
109,watchdog timer,監視計時器；看門狗計時器,,,
110,watchpoint,監視點,,,
111,water electrolysis system,水電解系統,,,
112,water permanence,耐水性,,,
113,waterfall model,瀑布模型,瀑布模型 ,,
114,water-jug problem,水和罐問題,,,
115,watermark magnetics,水印磁條,,,
116,Watson code,沃森編碼,,,
117,watt,瓦特；瓦（電學單位）,,,
118,wattage rating,額定功率,,,
119,watt-hour,瓦特小時,,,
120,wattmeter,瓦特表；瓦特計,,,
121,wave,波,,,
122,wave analyzer,波形分析儀,,,
123,wave antenna,波形天線,,,
124,wave band,波段,,,
125,wave carrier,載波,,,
126,wave detector	,檢波器,,,
127,wave function,波函數,,,
128,wave guide,波導,波導 ,,
129,wave interference,電波干擾,,,
130,wave length,波長,,,
131,wave mode,電波模態,,,
132,wave node,波節,,,
133,wave number,（駐）波數,,,
134,wave propagation laboratory	,電波傳播實驗室,,,
135,wave shape,波形,,,
136,wave shaping,波形形成,,,
137,wave trap,陷波器,,,
138,waveform,波形,波形 ,,
139,waveform analyzer	,波形分析儀；波形分析器,,,
140,waveform coder,波形編碼器,,,
141,waveform coding,波形編碼,,,
142,waveform digitalization,波形數位化,,,
143,waveform distortion,波形失真；波形畸變,,,
144,waveform generator,波形產生器；波形生成器,,,
145,waveform monitor	,波形監視器,,,
146,waveform parsing system,波形剖析系統,,,
147,waveform processing system	,波形處理系統,,,
148,waveform recording method,波形記錄法,,,
149,wavefront,波前；波陣面,,,
150,wavefront reconstruction photography,波前再現照相術,,,
151,waveguide,波導；波導管；導波管；波導器,,,
152,waveguide communications system	,波導通訊系統,,,
153,waveguide filter,波導濾波器,,,
154,waveguide junction,波導接頭,,,
155,waveguide lens,波導透鏡,,,
156,waveguide storage,波導儲存器,,,
157,waveguide stub,波導調諧用短線,,,
158,waveguide tee,T型波導,,,
159,waveguide transformer,波導阻抗轉換器,,,
160,waveguide transmission system,波導傳輸系統,,,
161,wavelength multiplexing,波長多工器,,,
162,wavelet,子波；小波,,,
163,wavelet basis,小波基礎,小波基 ,,
